,hour,tweet,Tweets_duygu,sınıflandırma
638,20,Soylu  Mustafa Çalışkan krizinde Adnan Oktar detayı  ,negatif,siyaset 
639,20,SONDAKİKA Rusya Türkiyeye uçuş yasağını uzattı  ,pozitif,dunya 
640,20,Financial Timesdan Sedat Peker yorumu Türkiyeyi şaşkına çevirdi  ,negatif,dunya 
641,20,Seda Bakan bahçeyi podyuma çevirdi  ,pozitif,saglik 
642,20,Fatih Portakalın cevap veremediği soru Fahrettin Altuna yönlendirdi  ,negatif,kultur 
643,20,Sedat Pekerden Ahmet Davutoğluna yanıt Silahlar SADAT tarafından organize edildi  ,negatif,siyaset 
644,20,KKTC Başbakanından Adalı açıklaması  ,negatif,siyaset 
645,20,Eşini taciz ettiğini iddia ettiği kişiyi sokakta kadın kıyafetiyle gezdirdi  ,negatif,siyaset 
646,20,Çevre ve Şehircilik Bakanı Kurumdan deniz salyası açıklaması  ,negatif,ekonomi 
647,20,Bakan Elvan İlk çeyrekteki yüzde lik büyümenin yüzde sı net dış talep ve yatırımlardan geldi  ,negatif,ekonomi 
648,20,Davutoğlu Madem ki pandoranın kutusunu açtılar Binali Yıldırım Süleyman Soylu Berat Albayrak Bu üç kişi Bu üç kişinin hesapları farklıydı  ,negatif,siyaset 
649,20,Masumiyetin Elası İlayda Alişandan tatil pozu  ,pozitif,kultur 
650,19,Alişandan Süleyman Soylu hamlesi  ,negatif,saglik 
651,19,Didem Soydan Galata sokaklarında  ,negatif,kultur 
652,19,Sedat Pekerden inanılmaz hamle  ,pozitif,siyaset 
653,19,Türk Tabipleri Birliğinden Bakanlığa acil çağrı  ,pozitif,saglik 
654,19,TikTok videosu çekerken bisikletle merdivenden böyle düştü  ,negatif,teknoloji 
655,19,Erkam Yıldırımın Venezuelaya gittiği dönemin gümrük kayıtları ortaya çıktı  ,negatif,dunya 
656,19,Nagehan Alçının kabine toplantısı kulisleri Size kesin bir bilgi vereyim  ,negatif,siyaset 
657,19,Seren Serengil  yaptığı photoshopla sosyal medyanın yine diline düştü  ,negatif,teknoloji 
658,19,Eski AKPli vekil AKPye verdi veriştirdi Bütün ezberler bozuldu  ,negatif,siyaset 
659,19,Serkay Tütüncünün seks açıklaması başına bela oldu Tiye aldı  ,negatif,saglik 
660,19,CHP Atatürke lanet okuyan Demirkandan şikayetçi oldu  ,negatif,siyaset 
661,19,Serkay Tütüncünün seks açıklaması başına bela oldu Tiye aldı  ,negatif,saglik 
662,19,Davutoğlundan Süleyman Soyluya ağır sözler Bunları satan kişiden devlet adamı olur mu  ,negatif,siyaset 
663,19,İzmir Barosundan sert açıklama  ,negatif,siyaset 
664,19,Milli Eğitim Bakanı Ziya Selçuk yüz yüze eğitimin ne zaman başlayacağını açıkladı  ,pozitif,siyaset 
665,19,Prof Osman Müftüoğlu koronavirüs salgınında iki tarihe dikkat çekti Çok önemli tarihler  ,pozitif,saglik 
666,19,Eda Eceden Anadolu Efes paylaşımı Hemen sildi  ,negatif,spor 
667,19,Sedat Pekerin yalan makinesi çağrısına yanıt Devlet görev versin yaparım  ,negatif,siyaset 
668,19,Fatih Altaylıdan Sedat Pekere gündeme oturacak soru  ,negatif,siyaset 
669,19,Demet Akalın bile tepki gösterdi Müzisyenler ne yapacak İntihar haberi almayız umarım  ,negatif,kultur 
670,19,Saray İttifakını sarsacak tefecilik davası  ,negatif,siyaset 
671,18,Sedat Peker Suriyeye ticaret yapmak için ona gidilmeli demişti Metin Kıratlıdan açıklama geldi  ,negatif,ekonomi 
672,18,Türkiyede koronavirüsten  kişi daha hayatını kaybetti  bin  yeni vaka var  ,negatif,saglik 
673,18,TEMde zincirleme kazada den fazla araç birbirine girdi  yaralı  ,negatif,siyaset 
674,17,İBB Sözcüsü Murat Ongun KİPTAŞ yolsuzluğunu tek tek anlattı Soruşturma dosyasını İçişleri Bakanlığı aldı  ,negatif,siyaset 
675,17,Cumhurbaşkanı Erdoğan Kabine Toplantısı sonrası alınan yeni kararları açıkladı  ,pozitif,siyaset 
676,16,Acil servisi arılar  bastı  ,negatif,saglik 
677,16,Sahte plakalı araçla kaçan sürücü polis aracına çarptı  i polis  yaralı  ,negatif,spor 
678,16,Otomobil ile motosiklet çarpıştı  ölü   ,negatif,siyaset 
679,16,Diyarbakırda akrabalar arasında kız meselesi kavgası   ölü  yaralı  ,negatif,siyaset 
680,16,Kafe ve restoranlarda  Haziran hazırlıkları başladı  ,pozitif,kultur 
681,15,Fatih Portakalın cevap veremediği soru Fahrettin Altuna yönlendirdi  ,negatif,kultur 
682,15,Soylu  Mustafa Çalışkan krizinde Adnan Oktar detayı  ,negatif,siyaset 
683,15,Serbest piyasada gün sonu altın fiyatları   ,pozitif,ekonomi 
684,15,Türk Tabipleri Birliğinden Bakanlığa acil çağrı  ,pozitif,saglik 
685,15,Yeni Akit yazarı Abdurrahman Dilipaktan iktidara zehir zemberek sözler Ye kürküm ye doymak bilmiyorlar  ,negatif,kultur 
686,14,Tıpta nadir durum Yemek borusu olmadan doğdu   ,negatif,saglik 
687,14,Yaprak kıpırdamayan ikinci el oto piyasasında normalleşmeyle birlikte hareketlilik  bekleniyor  ,negatif,ekonomi 
688,14,Diyarbakırda son kullanma tarihi geçmiş gıda malzemeleri ele geçirildi   ,negatif,dunya 
689,14,Süleyman Soyluya mahkemeden şok Emsal olacak karar  ,negatif,siyaset 
690,14,Akşenere böyle seslendi Susturulmaktan bıktım artık konuşmak istiyorum  ,negatif,siyaset 
691,13,İmamoğlundan Marmara Denizindeki deniz salyası hakkında açıklama  ,negatif,siyaset 
692,13,Fatih Altaylıdan Sedat Pekere gündeme oturacak soru  ,negatif,siyaset 
693,12,Sedat Pekerden Erkam Yıldırımla ilgili yeni iddia  ,negatif,siyaset 
694,12,Alişandan Süleyman Soylu hamlesi  ,negatif,saglik 
695,12,Su verilmeyen çiftçiler isyan etti KonyaAdana karayolu kapattı  ,negatif,ekonomi 
696,12,Sedat Pekerin yalan makinesi çağrısına yanıt Devlet görev versin yaparım  ,negatif,siyaset 
697,11,İzmirde Bitcoin operasyonu  bin dolarlık vurgun  yapmışlar  ,negatif,ekonomi 
698,11,Oyuncu Ümit Berber kalp krizi geçirerek hayatını kaybetti  ,negatif,spor 
699,11,Burdurda polis memuru evinde ölü bulundu  ,negatif,dunya 
700,11,KKTC Başbakanından Adalı açıklaması  ,negatif,siyaset 
701,09,İzmir Barosundan sert açıklama  ,negatif,siyaset 
702,08,CHP Atatürke lanet okuyan Demirkandan şikayetçi oldu  ,negatif,siyaset 
703,08,Eski AKPli vekil AKPye verdi veriştirdi Bütün ezberler bozuldu  ,negatif,siyaset 
704,08,FETÖPDY lideri Fetullah Gülenin yeğeni Selahaddin Gülen yakalanarak Türkiyeye getirildi  ,negatif,siyaset 
705,08,Prof Osman Müftüoğlu koronavirüs salgınında iki tarihe dikkat çekti Çok önemli tarihler  ,pozitif,saglik 
706,08,Korkunç olay  yaşındaki genç ağaca asılı halde ölü bulundu  ,negatif,dunya 
707,07,Meteoroloji sarı kodla uyardı  ile kuvvetli yağış uyarısı  ,pozitif,spor 
708,07,Sedat Pekerden inanılmaz hamle  ,pozitif,siyaset 
709,07,Nagehan Alçının kabine toplantısı kulisleri Size kesin bir bilgi vereyim  ,negatif,siyaset 
710,06,CHPli Ağbabadan Gri pasaport açıklaması  ,pozitif,siyaset 
711,06,Yılmaz Özdilden lale yazısı Sülale devrinin lalesi anca böyle  ,negatif,kultur 
712,06,Rasim Ozan Kütahyalıdan Sedat Pekerin Berat Albayrak  iddiasıyla ilgili açıklama  ,negatif,siyaset 
713,06,Saray İttifakını sarsacak tefecilik davası  ,negatif,siyaset 
714,06,Fikri Sağlardan Peker yorumu Suriyede dönen pisliği Davutoğlu anlatmalı  ,negatif,siyaset 
715,06,Yurtta hava durumu  ,pozitif,ekonomi 
716,06,Hilal Altınbilek önce  test etti sonra serinledi  ,negatif,spor 
717,06,Serbest piyasada döviz fiyatları  ,pozitif,ekonomi 
718,06,Binali Yıldırım oğlunun test kiti ve maske götürdüğünü söylerken  Ekim Aralık  tarihleri arasında Türkiyeden Venezuelaya hiçbir maske sevkiyatı yapılmadığı ortaya çıktı  ,negatif,siyaset 
719,06,Erkam Yıldırımın Venezuelaya gittiği dönemin gümrük kayıtları ortaya çıktı  ,negatif,dunya 
720,06,Özgür Özelden Ömer Çelike Atatürk yanıtı Bu mesajı bir bayrama saklayın  ,negatif,siyaset 
721,06,Soylunun baskısı sonrası intihar ettiği öne sürülen emniyet müdürünün son mesajı ortaya çıktı  ,pozitif,siyaset 
722,06,Fatih Altaylıdan Sedat Peker yazısı Gülmekten yazamıyorum  ,negatif,kultur 
723,05,Bakan Soylunun kurucusu olduğu Engin Sigortadan Pekerin iddialarına açıklama  ,negatif,siyaset 
724,05,İsmailağa Cemaatinden Sedat Pekerin videolarının ardından açıklama  ,negatif,siyaset 
725,05,Yavaş duyurdu ABB KPSS ücretlerini de karşılayacak  ,negatif,ekonomi 
726,05,Ayasofyanın eski imamı Boynukalın Taksim Cami ile geri döndü  ,negatif,kultur 
727,05,Sedat Pekerin  iddialarına vatandaş böyle tepki gösterdi Tayyip kendini kandırsın bizi kandıramaz  ,negatif,siyaset 
728,05,Sedat Pekerin masasındaki zarflarda neler yazıyor  ,negatif,kultur 
729,05,Can Yaman ve Diletta Leotta tatilde Düşman çatlattılar  ,negatif,kultur 
730,05,ABD basınından hapsi istenen İmamoğlu analizi Erdoğandan daha popülerken  ,negatif,siyaset 
731,05,Şamil Tayyardan ilginç paylaşım Muhalefetin Cumhurbaşkanı adayı Sedat Peker olsun  ,negatif,siyaset 
732,05,Sedat Peker Berat Albayrakın Murat Sancakın evinde kaldığını iddia etti Sancak yanıt verdi  ,negatif,siyaset 
733,04,Sedat Peker soruşturmasının ayrıntıları belli oldu  ,negatif,siyaset 
734,04,Varlık Fonu sonrası zarar devam ediyor ÇAYKURun borcu  milyarı aştı  ,negatif,ekonomi 
735,04,İngiliz firma atıkların Türkiyeye gönderilmesiyle alay etti  ,negatif,dunya 
736,04,Sedat Pekerin Erdoğana seslendiği son videosuna ilişkin Saraydan ilk açıklama  ,pozitif,siyaset 
737,04,Pekerin iddiaları sonrası Tuğrul Türkeşin yıllar önce  Vallahi de billahi de o  silahlar Türkmenlere gitmiyordu sözleri yeniden gündem oldu  ,negatif,siyaset 
738,04,New York Timestan Erdoğan analizi Sadık seçmenini kızdırdı  ,negatif,siyaset 
739,04,Şevval Samın bikinili pozu sosyal medyayı  salladı  ,negatif,teknoloji 
740,04,Eski AKPli isim Erdoğanın Rizeye sokulmadığı günü anlattı  ,negatif,siyaset 
741,04,Financial Timesdan Sedat Peker yorumu Türkiyeyi şaşkına çevirdi  ,negatif,dunya 
742,04,Sedat Peker  video yayınlandı SADAT El Nusraya benim üzerimden silah yolladı  ,negatif,siyaset 
743,03,Ambulans helikopter  günlük bebek için havalandı  ,pozitif,saglik 
744,03,Mermer yüklü tır devrildi baba öldü oğlu ağır yaralandı  ,negatif,dunya 
745,03,İngiltere Başbakanı Johnson gizli törenle evlendi  ,pozitif,dunya 
746,03, polis gözaltına alındı şube müdürünün yeri değiştirildi  ,negatif,siyaset 
747,03,Şamil Tayyardan ilginç paylaşım Muhalefetin Cumhurbaşkanı adayı Sedat Peker olsun  ,negatif,siyaset 
748,03,Mehmet Ali Erbil  ve kızı Yasmin aynı projede  ,pozitif,kultur 
749,03,Peker Süleyman Soyluya ünlü tirad ile göndermede  bulundu Rüştü Asyalının sesinden Cyrano de Bergeracın İstemem eksik olsun tiradı  ,negatif,kultur 
750,03,İtalyada son  saatte  bin  yeni vaka  ,pozitif,saglik 
751,03,EKAY Dünya Çevre Gününde çöpten elektrik üretmeye başlayacak  ,negatif,ekonomi 
752,03,Bilim Kurulu Üyesi Taşova Virüsün nasıl değişeceğini bilmiyoruz  ,negatif,teknoloji 
753,02,Yüksekova kırsalında silah ve mühimmat ele geçirildi  ,negatif,dunya 
754,02,Özel düzenekle uyuşturucu yetiştirilen eve operasyon  ,negatif,siyaset 
755,02,Cinnet getirdi eşini doğradı tepkileri kan dondurdu  ,pozitif,saglik 
756,02,İsrail Dışişleri Bakanı  yıl sonra Mısırı ziyaret etti  ,pozitif,dunya 
757,02,Otomobil ile hafif ticari araç çarpıştı  yaralı  ,negatif,saglik 
758,02,Asena yaptığı photoshopla sosyal medyanın diline düştü  ,negatif,teknoloji 
759,02,Uyuşturucu baronu El Chaponun evi piyango ikramiyesi oluyor  ,negatif,dunya 
760,02,Antalyada turistleri bile kıskandıran  yıldızlı kısıtlama  ,negatif,ekonomi 
761,02,AKPde Süleyman Soylu krizi Cepheler netleşti  ,negatif,siyaset 
762,01,Balıkesirde şeker otu dikimine başlandı  ,negatif,saglik 
763,01,Ev eşyası yüklü kamyondan  kilo  gram esrar çıktı  ,negatif,siyaset 
764,01,Şeyma Subaşı  futbolcu Michael Ballacki deşifre etti Gündem oldular  ,negatif,spor 
765,01,Kolombiyada polis helikopteri düştü  ölü  ,negatif,dunya 
766,01,Merzifonda uyuşturucu operasyonu  gözaltı  ,pozitif,saglik 
767,01,Özcan Deniz aşkı Samar Dadgarda buldu Tam  kaybettim dendiği an bulunansın  ,pozitif,kultur 
768,01,Konteynerde tek başına yaşayan engelli vatandaşın akülü sandalye talebi  ,negatif,siyaset 
769,01,Kastamonuda bir köy karantinaya alındı  ,pozitif,dunya 
770,01,Melih Gökçek Mansur Yavaşı hedef almak isterken baltayı taşa vurdu  ,negatif,siyaset 
771,00,O kadına  ay  gün hapis cezası  ,negatif,siyaset 
772,00, metrelik gemi Çanakkalede arızalandı  ,negatif,siyaset 
773,00,Aygün Aydın yataktan Hakan Sabancıyı çağırdı Seninle birkaç şey denemek istiyorum  ,negatif,siyaset 
774,00,Polisle esnaf arasındaki ruhsat tartışması arbedeye döndü  ,negatif,spor 
775,00,Jandarmadan uyuşturucu operasyonu  ,negatif,siyaset 
776,00,Kate Uptonın pozuna  beğeni yağdı  ,negatif,kultur 
777,00,Günlerdir her yerde aranan Ali Ermutlu ölü bulundu  ,negatif,siyaset 
778,00,Van Gölünde  ton inci kefali ele geçirildi  ,negatif,siyaset 
779,00,Davutoğlundan Süleyman Soylu hakkında çarpıcı açıklama Gerekirse AK Partiyi yakarım mesajı verdi  ,pozitif,siyaset 
780,23,Likya yoluna yürüyeceğini belirten şahıstan  gündür haber alınamıyor  ,negatif,siyaset 
781,23,Şanlıurfa doğurganlık hızının en yüksek olduğu il oldu  ,negatif,saglik 
782,23,Sedat Peker  videosunda Berat Albayrakın yerini açıkladı Berat Albayrak nerede biliyor musunuz  ,negatif,siyaset 
783,23,Hamam işletmecisi hamamda ölü bulundu  ,negatif,siyaset 
784,23,Giresunda doğalgaz boru hattında patlama  ,negatif,ekonomi 
785,23,Demi Rose yaptığı paylaşımla yine kendine hayran bıraktı  ,pozitif,saglik 
786,23,Boluda trafik kazası  yaralı  ,negatif,saglik 
787,23,Küçükçekmecede bıçaklı yan baktın kavgası  ,negatif,siyaset 
788,23,Chloe Ferrynin pozları eleştiri yağmuruna tutuldu  ,negatif,kultur 
789,23,Ahmet Takandan bomba iddia AKP içinden muhalefete belge akmaya başladı büyük skandallar ortaya çıkacak  ,negatif,siyaset 
790,22,Lazer epilasyon yaptırdı kolları yandı  ,negatif,saglik 
791,22,Adanada  kişinin öldüğü  kişinin yaralandığı yangın klimadan çıkmış  ,negatif,teknoloji 
792,22,Ayasofyada skandal görüntüler Atatürke lanet okundu Erdoğan dinledi  ,negatif,siyaset 
793,22,Ankara Barosundan AKPnin sunduğu kanun teklifine tepki Cumhuriyet savcılarının bağımsızlığını tamamen ortadan kaldıracak  ,negatif,siyaset 
794,22,Ticari taksi içinde kadınla tartışıp taksi şoförüne kurşun yağdırdı  ,negatif,siyaset 
795,22,Mucize Doktorlar tatilde  ,pozitif,saglik 
796,22,Kaybolan kişinin cesedi  gün sonra sahile vurmuş olarak bulundu  ,negatif,dunya 
797,22,Bu obada ayı ve kurt görene  günlük tatil bedava  ,pozitif,kultur 
798,22,Johnny Deppin kızı LilyRose Deppten seksi paylaşım  ,pozitif,kultur 
799,22,İstanbulda  ilçede  saat sular kesilecek   ,negatif,dunya 
800,21,Sosyal medyada infial yaratan iğrenç olay Her detayı korkunç  ,negatif,saglik 
801,21,Sosyal medyada tanıştığı kız kendisine kaçınca bezbol sopası ile hastanelik edildi  ,negatif,teknoloji 
802,21,Marmara Denizi Alarm Veriyor Videoyu Görenler Dehşete Düştü  ,pozitif,teknoloji 
803,21,Arkadaşları ile birlikte Dicle Nehrine girdi cansız bedeni çıktı  ,pozitif,dunya 
804,21,Hiçbir güneş koruyucu tam korumaz  ,negatif,spor 
805,21,Aynur Aydın Erkeklerin ilgisini çeken bir kadınım  ,negatif,saglik 
806,21,Can Dündar Sedat Peker bana TIR haberleri nedeniyle Asılmayı hak ettin diye mesaj göndermişti  ,negatif,siyaset 
807,21,Kanepeden düşen çocuk hayatını kaybetti  ,negatif,dunya 
808,21,Nesrin Cavadzade ve Eda Ecenin aralarından su sızmıyor  ,negatif,kultur 
809,21,Dünyaca ünlü ekonomistlerden korkutan tahmin Değer kaybı ne kadar sürecek  ,negatif,ekonomi 
810,20,Yavaş duyurdu ABB KPSS ücretlerini de karşılayacak  ,negatif,ekonomi 
811,20,Rasim Ozan Kütahyalıdan  Sedat Pekerin Berat Albayrak iddiasıyla ilgili açıklama  ,negatif,siyaset 
812,20,Bakan Soylunun kurucusu olduğu Engin Sigortadan Pekerin iddialarına açıklama  ,negatif,siyaset 
813,20,Anadolu Efes EuroLeague şampiyonu   FGlory EuroLeague AnadoluEfes   ,pozitif,spor 
814,20,Emniyette Rüşvet ve görevi kötüye kullanma soruşturması  polis gözaltına alındı şube müdürünün yeri değiştirildi  ,negatif,siyaset 
815,20,Sedat Pekerin masasındaki zarflarda neler yazıyor  ,negatif,kultur 
816,20, polis gözaltına alındı şube müdürünün yeri değiştirildi  ,negatif,siyaset 
817,20,Özcan Deniz aşkı Samar Dadgarda buldu Tam kaybettim dendiği an bulunansın  ,pozitif,kultur 
818,20,SADATtan Peker açıklaması  ,negatif,siyaset 
819,20,ABD basınından hapsi istenen İmamoğlu analizi Erdoğandan daha popülerken  ,negatif,siyaset 
820,20,Sedat Pekerin iddialarına vatandaş böyle tepki gösterdi Tayyip kendini kandırsın bizi kandıramaz  ,negatif,siyaset 
821,20,İsmailağa Cemaatinden Sedat Pekerin videolarının ardından açıklama  ,negatif,siyaset 
822,20,Şamil Tayyardan ilginç paylaşım Muhalefetin Cumhurbaşkanı adayı Sedat Peker olsun  ,negatif,siyaset 
823,20,Kate Uptonın pozuna beğeni yağdı  ,negatif,kultur 
824,20,Sedat Peker Berat Albayrakın Murat Sancakın evinde kaldığını iddia etti Sancak yanıt verdi  ,negatif,siyaset 
825,20,Sedat Peker soruşturmasının ayrıntıları belli oldu  ,negatif,siyaset 
826,20,Şeyma Subaşı futbolcu Michael Ballacki deşifre etti Gündem oldular  ,negatif,spor 
827,20,Özgür Özelden Ömer Çelike Atatürk yanıtı Bu mesajı bir bayrama saklayın  ,negatif,siyaset 
828,20,Hilal Altınbilek önce test etti sonra serinledi  ,negatif,spor 
829,20,CHPli Ağbabadan Gri pasaport açıklaması  ,pozitif,siyaset 
830,19,Fatih Altaylıdan Sedat Peker yazısı Gülmekten yazamıyorum  ,negatif,kultur 
831,19,Mehmet Ali Erbil ve kızı Yasmin aynı projede  ,pozitif,kultur 
832,19,Soylunun baskısı sonrası intihar ettiği öne sürülen emniyet müdürünün son mesajı ortaya çıktı  ,pozitif,siyaset 
833,19,Ayasofyanın eski imamı Boynukalın Taksim Cami ile geri döndü  ,negatif,kultur 
834,19,Aygün Aydın yataktan  Hakan Sabancıyı çağırdı Seninle birkaç şey denemek istiyorum  ,negatif,siyaset 
835,19,Varlık Fonu sonrası zarar devam ediyor ÇAYKURun borcu  milyarı aştı  ,negatif,ekonomi 
836,19,İngiliz firma atıkların Türkiyeye gönderilmesiyle alay etti  ,negatif,dunya 
837,19,Can Yaman ve  Diletta Leotta tatilde Düşman çatlattılar  ,negatif,kultur 
838,19,Sedat Pekerin Erdoğana seslendiği son videosuna ilişkin Saraydan ilk açıklama  ,pozitif,siyaset 
839,19,New York Timestan Erdoğan analizi Sadık seçmenini kızdırdı  ,negatif,siyaset 
840,19,Pekerin iddiaları sonrası Tuğrul Türkeşin yıllar önce  Vallahi de billahi de o silahlar Türkmenlere gitmiyordu sözleri yeniden gündem oldu  ,negatif,siyaset 
841,19,Eski AKPli isim Erdoğanın Rizeye sokulmadığı günü anlattı  ,negatif,siyaset 
842,19,Financial Timesdan Sedat Peker yorumu Türkiyeyi şaşkına çevirdi  ,negatif,dunya 
843,19,Şevval Samın bikinili pozu sosyal medyayı salladı  ,negatif,teknoloji 
844,19,Sedat Peker  video yayınlandı SADAT El Nusraya benim üzerimden silah yolladı  ,negatif,siyaset 
845,19,Fikri Sağlardan Peker yorumu Suriyede dönen pisliği Davutoğlu anlatmalı  ,negatif,siyaset 
846,19,Yılmaz Özdilden lale yazısı Sülale devrinin lalesi anca böyle  ,negatif,kultur 
847,18,Ankara Barosundan AKPnin sunduğu kanun teklifine tepki Cumhuriyet savcılarının bağımsızlığını tamamen ortadan kaldıracak  ,negatif,siyaset 
848,17,Peker Süleyman Soyluya ünlü tirad ile göndermede bulundu Rüştü Asyalının sesinden Cyrano de Bergeracın İstemem eksik olsun tiradı  ,negatif,kultur 
849,17,Son  saatte korona virüsten  kişi hayatını kaybetti  bin  yeni vaka  ,negatif,saglik 
850,16,Can Dündar Sedat Peker bana TIR haberleri nedeniyle Asılmayı hak ettin diye mesaj göndermişti   sedatpeker    ,negatif,siyaset 
851,16,Şamil Tayyardan ilginç paylaşım Muhalefetin Cumhurbaşkanı adayı Sedat Peker olsun  sedatpeker    ,negatif,siyaset 
852,16,Financial Timesdan Sedat Peker yorumu Türkiyeyi şaşkına çevirdi   sedatpeker  ,negatif,dunya 
853,15,Bakan Soylunun kurucusu olduğu Engin Sigortadan Pekerin iddialarına açıklama  ,negatif,siyaset 
854,15,Yavaş duyurdu ABB KPSS ücretlerini de karşılayacak  ,negatif,ekonomi 
855,15,Sedat Pekerin masasındaki zarflarda neler yazıyor   sedatpeker pazar tayyipabi    ,negatif,kultur 
856,15,Sedat Peker soruşturmasının ayrıntıları belli oldu  ,negatif,siyaset 
857,15,İstismarcı Sercan Keskinkılıç tutuklandı  ,negatif,siyaset 
858,15,İngiliz firma atıkların Türkiyeye gönderilmesiyle alay etti  ,negatif,dunya 
859,14,Ayasofyanın eski imamı Boynukalın Taksim Cami ile geri döndü  ,negatif,kultur 
860,14,İstanbulda  ilçede  saat sular kesilecek  ,negatif,dunya 
861,14,Varlık Fonu sonrası zarar devam ediyor ÇAYKURun borcu  milyarı aştı  ,negatif,ekonomi 
862,12,Sedat Pekerin Erdoğana seslendiği son videosuna ilişkin Saraydan ilk açıklama  ,pozitif,siyaset 
863,11,Sosyal medyada infial yaratan iğrenç olay Her detayı korkunç  ,negatif,saglik 
864,11,Koronavirüs geçiren hastalarda görülüyor Hastaneye başvurun  ,negatif,saglik 
865,11,Rasim Ozan Kütahyalıdan Sedat Pekerin Berat Albayrak iddiasıyla ilgili açıklama   sedatpeker pazar        ,negatif,siyaset 
866,11,Yılmaz Özdilden lale yazısı Sülale devrinin lalesi anca böyle  ,negatif,kultur 
867,10,Eski AKPli isim Erdoğanın Rizeye sokulmadığı günü anlattı  ,negatif,siyaset 
868,10,Fatih Altaylıdan Sedat Peker yazısı Gülmekten yazamıyorum  ,negatif,kultur 
869,09,Sedat Pekerin iddiaları sonrası Tuğrul Türkeşin yıllar önce Vallahi de billahi de o silahlar Türkmenlere gitmiyordu sözleri yeniden gündem oldu  sedatpeker pazar       ,negatif,siyaset 
870,09,Sedat Peker Bir dahaki videoda konuşacağız Tayyip Abi baş başa abikardeş Açık delillerle bilinmeyen delillerle anlatımlarımı doğrulayacağım Helalleşeceğiz abi ben ajan değilim Bunu tüm dünyaya göstereceğim   sedatpeker pazar      ,pozitif,siyaset 
871,08,Soylunun baskısı sonrası intihar ettiği öne sürülen emniyet müdürünün son mesajı ortaya çıktı   sedatpeker pazar      ,negatif,siyaset 
872,08,Sedat Peker Berat Albayrakın Murat Sancakın evinde kaldığını iddia etti Sancak yanıt verdi   sedatpeker pazar       ,negatif,siyaset 
873,08,Sedat Peker  videosunda Berat Albayrakın yerini açıkladı Berat Albayrak nerede biliyor musunuz  sedatpeker pazar     ,negatif,siyaset 
874,07,Sedat Peker Süleyman Soyluya ünlü tirad ile göndermede bulundu Rüştü Asyalının sesinden Cyrano de Bergeracın İstemem eksik olsun tiradı   sedatpeker pazar   ,negatif,kultur 
875,07,Sedat Peker  video yayınlandı SADAT El Nusraya benim üzerimden silah yolladı  sedatpeker pazar   ,negatif,siyaset 
876,07,Eren Operasyonunda şehit olan Jandarma Uzman Çavuş Hüseyin Keleşin cenazesi Ankaraya gönderildi  ,negatif,siyaset 
877,07,Yurtta hava durumu  ,pozitif,ekonomi 
878,06,Yeni Akit Yazı İşleri Müdürü Bunlar İyi Günleriniz Daha Neler Olacak Görün  ,negatif,kultur 
879,06,Erdoğanın eski danışmanından AKPlileri çıldırtacak sözler Ooh ooh suyundan da koy  ,negatif,siyaset 
880,06,Dünyaca ünlü ekonomistlerden korkutan tahmin Değer kaybı ne kadar sürecek  ,negatif,ekonomi 
881,06,İstanbulda  ilçede  saat sular kesilecek  ,negatif,dunya 
882,06,Marmara Denizi Alarm Veriyor Videoyu Görenler  Dehşete Düştü  ,pozitif,teknoloji 
883,06,Deniz Zeyrek Bugün sizinle okuduktan sonra ne günlere kaldık diyeceğiniz üç detay paylaşacağım  ,negatif,kultur 
884,06,Nesrin Cavadzade  ve Eda Ecenin aralarından su sızmıyor  ,negatif,kultur 
885,06,Ahmet Takandan bomba iddia AKP içinden muhalefete belge akmaya başladı büyük skandallar ortaya çıkacak  ,negatif,siyaset 
886,06,Sedat Pekerin kardeşi Atilla Pekerden şok açıklamalar  ,negatif,siyaset 
887,05,SampP Türkiye için değerlendirme yapmadı  ,negatif,spor 
888,05,NASA Dünyaya Eyfel Kulesi büyüklüğünde asteroid yaklaşıyor  ,pozitif,teknoloji 
889,05,AKPli vekilden Altınoka Sedat Peker sorusu Talimatı kim verdi  ,negatif,siyaset 
890,05,Rasim Ozan  Kütahyalı Ahmet Çakara pamuğu ben tıkayacağım  ,negatif,kultur 
891,05,Davutoğlundan Süleyman Soylu hakkında çarpıcı açıklama Gerekirse AK Partiyi yakarım mesajı verdi  ,pozitif,siyaset 
892,05,Mucize Doktorlar tatilde  ,pozitif,saglik 
893,05,Melih Gökçek Mansur Yavaşı hedef almak isterken baltayı taşa vurdu  ,negatif,siyaset 
894,05,Yandaşlar birbirine girdi Abdurrahman Dilipaka şok sözler  ,negatif,siyaset 
895,05,Bilim Kurulu Üyesi Taşova Virüsün nasıl değişeceğini bilmiyoruz  ,negatif,teknoloji 
896,04,Bomba iddia Torba yasa ile Cumhuriyet Savcılığı kaldırılıyor  ,negatif,siyaset 
897,04,Pekerin Koruma Kararına İmza Atan Altınoktan FETÖ İzi Haberine Tepki  ,negatif,siyaset 
898,04,Nike Cinsel Saldırıyla Suçlanan Neymarla İşbirliğini Sonlandırdı  ,pozitif,siyaset 
899,04,Venezuelalı gazeteci Roberto Deniz Türkiyeden yardım geldiğini hatırlamıyorum  ,negatif,dunya 
900,04,Kılıçdaroğlundan Süleyman Soyluya dava mesajı Değeri o kadar  ,negatif,siyaset 
901,04,AKPde Süleyman Soylu krizi Cepheler netleşti  ,negatif,siyaset 
902,04,Aynur Aydın Erkeklerin  ilgisini çeken bir kadınım  ,negatif,saglik 
